"repetition","fold","min_mess","max_mess","mean_mess","median_mess","q10_mess","q90_mess","auroc_train","auroc_test","diff_perf"
1,1,0,50.8928571428571,11.3201530612245,9.59821428571428,0,27.1428571428572,0.886729650003986,0.886973180076628,-0.000243530072641773
1,2,-4.31266846361186,53.125,11.8902755787181,8.92857142857142,0,32.8571428571429,0.888392768154365,0.871762072273745,0.0166306958806204
1,3,-2.33674277740752,46.875,12.074262530034,8.03571428571428,0,34.6875,0.888472576530613,0.833227040816326,0.0552455357142865
1,4,0,58.0357142857143,11.6111288265306,9.59821428571429,0,27.5892857142857,0.89532009885992,0.868135376756066,0.0271847221038541
1,5,0,50.4464285714286,13.3729272959184,10.2678571428571,0,28.8839285714286,0.893754858771703,0.861208826351135,0.0325460324205681
2,1,0,54.0178571428571,13.4685905612245,10.2678571428571,0,31.6517857142857,0.898816167091837,0.839604591836734,0.0592115752551032
2,2,0,56.25,12.7471301020408,8.92857142857143,0,34.1517857142857,0.886012118313003,0.874521072796935,0.0114910455160681
2,3,-1.31580624443277,55.8035714285714,10.7608215044603,7.58928571428572,0,28.125,0.889788107720214,0.883914294851295,0.00587381286891953
2,4,-2.33674277740752,47.3214285714286,11.4826438782629,7.58928571428572,0,28.125,0.882663637088415,0.899425287356322,-0.016761650267907
2,5,-1.04766893661602,56.25,11.1684836896388,9.375,0,25.3571428571429,0.891495601173021,0.862325882734046,0.0291697184389752
3,1,0,58.0357142857143,12.0535714285714,8.03571428571429,0,28.0803571428571,0.890824645683419,0.856411896386313,0.0344127492971059
3,2,-2.73427467085346,51.7857142857143,12.2572524100128,9.375,0,31.25,0.867839125839964,0.94471231115397,-0.0768731853140052
3,3,-0.311041990668741,56.6964285714286,11.8435238597772,9.82142857142858,0,28.0357142857143,0.899930244145491,0.837958532695374,0.0619717114501168
3,4,0,54.9107142857143,11.882174744898,8.25892857142857,0,29.2857142857143,0.890323866467365,0.864752791068581,0.0255710753987846
3,5,0,54.0178571428571,12.320631377551,10.2678571428571,0,27.5446428571429,0.900151466836736,0.835459183673469,0.064692283163266
4,1,0,60.7142857142857,12.6434948979592,9.82142857142858,0,27.6785714285714,0.891502382043973,0.865046370322994,0.0264560117209793
4,2,-0.696480197047901,52.6785714285714,11.29001867171,8.03571428571428,0,30.7589285714286,0.892181890706021,0.853548387096774,0.0386335036092472
4,3,-0.311041990668741,54.0178571428571,11.5286322781445,9.15178571428572,0,26.25,0.891005671379504,0.861660079051384,0.0293455923281206
4,4,0,54.0178571428571,11.882174744898,9.15178571428571,0,28.2142857142857,0.894986733696413,0.852607709750567,0.0423790239458456
4,5,-2.33674277740752,54.4642857142857,13.1514121117313,8.92857142857142,0,32.4553571428572,0.884765625000001,0.897321428571428,-0.0125558035714275
5,1,-0.696480197047901,51.3392857142857,11.1026781104855,9.375,0,27.1875,0.896053917170147,0.865638058502089,0.0304158586680578
5,2,0,54.0178571428571,13.2174744897959,8.92857142857142,0,33.8392857142857,0.883715362978038,0.871720116618076,0.0119952463599614
5,3,0,58.0357142857143,13.0939094387755,9.375,0,31.9642857142857,0.895897794191037,0.882160392798691,0.0137374013923464
5,4,-2.33674277740752,53.5714285714286,11.137073350285,6.69642857142858,0,27.5446428571429,0.886977838010205,0.880102040816327,0.00687579719387821
5,5,-1.0443864229765,52.2321428571429,11.8808218048969,10.0446428571429,0,25.8035714285714,0.887057228855623,0.885193476175247,0.00186375268037597
6,1,-0.696480197047901,45.9821428571429,12.1031564268121,9.375,0,28.8839285714286,0.907264573991032,0.802551834130781,0.104712739860251
6,2,-2.33674277740752,55.3571428571429,11.5384474496915,9.82142857142858,0,25.3571428571429,0.882273207486994,0.907898944675408,-0.0256257371884134
6,3,-1.04766893661602,43.75,11.3239364957612,8.48214285714286,0,29.1517857142857,0.887487044566691,0.898148148148148,-0.0106611035814569
6,4,0,53.125,10.6863839285714,8.03571428571428,0,26.1160714285714,0.883292456780523,0.877531340405014,0.00576111637550947
6,5,0,59.375,14.6763392857143,9.59821428571428,0,34.3303571428571,0.891400099651222,0.869218500797448,0.0221815988537744
7,1,0,56.6964285714286,12.8507653061224,9.375,0,29.375,0.887734343837254,0.883225806451613,0.00450853738564172
7,2,0,42.8571428571429,11.2603635204082,8.25892857142857,0,29.2410714285714,0.887719298245613,0.886858974358974,0.000860323886638703
7,3,-1.31580624443277,56.25,13.0394430542551,7.8125,0,31.5625,0.896784738971836,0.846818036456668,0.0499667025151685
7,4,-0.311041990668741,49.1071428571429,11.4927585536547,7.58928571428572,0,25.4464285714286,0.897652076855616,0.849297573435504,0.0483545034201122
7,5,-2.71484927601386,47.3214285714286,11.6513517155505,8.92857142857142,0,28.5267857142857,0.886716492277032,0.868261562998405,0.0184549292786264
8,1,-2.33674277740752,53.5714285714286,11.3881894217136,8.25892857142857,0,27.9910714285714,0.882695374800638,0.890384615384616,-0.00768924058397791
8,2,0,57.1428571428571,14.4172512755102,10.9375,0,32.0982142857143,0.882239112653861,0.886945254292194,-0.00470614163833294
8,3,-0.696480197047901,51.7857142857143,11.3816959676284,9.375,0,24.5535714285714,0.893438372556839,0.870967741935484,0.0224706306213551
8,4,0,47.3214285714286,12.1930803571429,8.48214285714285,0,32.5,0.901385151968113,0.832854864433812,0.0685302875343008
8,5,-1.0443864229765,45.9821428571429,11.2231368559173,8.03571428571428,0,27.9910714285714,0.891746411483253,0.869230769230769,0.0225156422524838
9,1,-1.09717868338558,44.1964285714286,9.73543242728126,7.8125,0,24.0625,0.884765625,0.890306122448979,-0.00554049744897911
9,2,-2.33674277740752,55.3571428571429,12.1283709190793,9.82142857142857,0,27.1875,0.88016215352664,0.907773386034256,-0.027611232507616
9,3,-1.36481140800821,51.7857142857143,11.975238238248,8.92857142857142,0,27.5,0.883228448706422,0.901492537313433,-0.0182640886070115
