ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
1;4;1;404467.954;5049004.327;714.508;84.977;64.668;0.088;-0.658;-2.17;2.491;0.387;172.389;67.722;37.556;15.278
2;4;1;404339.864;5049019.165;806.846;355.163;25.924;0.996;-0.531;2.693;-1.743;1.031;172.389;67.722;42.444;15.278
3;4;1;404210.376;5049230.711;700.201;352.75;38.529;0.992;0.147;4.359;-3.729;0.23;172.389;67.722;34.556;15.278
4;4;1;404212.901;5049514.325;533.757;71.365;29.724;0.32;0.128;-0.31;-0.071;1.94;140.611;49.167;27.222;13.833
5;4;1;402500;5050000;686.791;37.074;46.019;0.798;0.707;0.111;-1.291;4.099;140.389;68.333;26.833;14.556
6;4;1;406689.142;5050625.088;437.443;131.852;30.212;-0.667;0.599;0.214;-1.239;2.947;187.5;73.722;14.111;14.667
7;4;1;406428.164;5050575.632;405.74;191.446;25.23;-0.98;-0.68;0.034;-0.494;2.676;174.222;70;13.667;14.833
8;1;1;390874.06;5050619.508;2097.4;260.285;20.119;-0.169;-0.418;0.558;0.349;4.034;172.389;104.889;48.5;16.611
9;4;1;403507.535;5050872.337;425.284;116.867;26.256;-0.452;-0.793;2.85;-0.459;0.751;115.611;60.944;14;14.278
10;2;1;398540.648;5050980.221;766.106;50.787;42.601;0.632;0.079;2.781;-1.002;1.766;130.611;72.722;19;15.5
11;1;1;391633.524;5051058.281;1902.69;345.933;37.734;0.97;0.24;0.123;0.836;1.899;184.389;104.944;47.167;16.667
12;2;1;396951.89;5051081.12;1211.19;124.455;43.842;-0.566;0.491;0.812;1.024;1.023;112.5;58.5;40.167;13.778
13;4;1;402667.946;5051099.277;408.222;224.732;48.026;-0.71;-0.339;2.66;-6.809;2.074;119.944;58.611;13.111;14
14;4;1;402583.76;5051107.67;355.506;202.182;27.685;-0.926;-0.233;1.174;1.899;0.907;101.389;60.111;9.944;14.444
15;4;1;403326.867;5051265.979;495.011;132.624;36.772;-0.677;0.512;-2.581;-1.938;1.896;119.944;58.611;12.667;14
16;2;1;397551.513;5051416.543;784.429;48.39;54.196;0.664;-0.149;-0.088;1.415;2.16;112.5;58.5;23.944;13.778
17;2;1;397504.745;5051538.858;760.738;226.515;16.999;-0.688;0.567;-0.166;0.913;4.369;112.5;58.5;22.944;13.778
18;2;1;402304;5051569;374.187;245.646;27.383;-0.412;0.427;-3.154;3.654;4.939;101.389;60.111;9.611;14.444
