ID;Geologia;Crollo;Cord_X;Cord_Y;Quote;Aspect;Slope;Nord;East;PlanarC;ProfileC;TWI;WD;NGSS;FT;EWI
93;1;1;390806.185;5076838.634;1650.09;68.809;59.492;0.361;0.886;2.164;-10.584;0.144;204.833;89.111;48.833;15.167
94;1;1;392149.912;5076941.657;1394.77;280.7;52.281;0.186;-0.082;0.209;3.528;4.672;184.389;69.944;48.667;15.889
95;1;1;392364.636;5077067.632;1657.49;307.462;69.889;0.608;0.239;-3.857;-4.934;1.538;184.389;69.944;50.889;15.889
96;1;1;391365.853;5077154.804;1163.7;85.013;31.736;0.087;-0.854;0.416;0.233;3.301;197.389;86.056;45;14.889
97;1;1;392537.153;5077372.4;1779.51;264.867;61.488;-0.089;0.458;-7.465;-1.508;2.426;195.889;75;53.889;15.111
98;1;1;392421.535;5077552.971;1699.77;298.879;56.3;0.483;-0.937;4.885;0.115;0.431;195.889;75;53.556;15.111
99;2;1;382956.889;5077620.722;2458.03;132.413;36.855;-0.674;0.437;4.362;-5.39;0.299;233.778;93.722;53.5;14.333
100;6;1;394780.484;5077485.076;2125.61;295.664;32.25;0.433;0.323;0.485;0.792;1.151;187.111;71.333;53.5;15.889
101;2;1;383433.74;5077704.117;2340.11;181.682;35.134;-1.000;0.238;0.465;-2.56;3.675;233.778;93.722;53.056;14.333
102;2;1;383548.632;5077858.03;2363.7;27.103;23.448;0.890;-0.236;-0.432;-0.434;2.679;233.778;93.722;52.333;14.333
103;1;1;392178.977;5077876.573;1353.19;280.073;46.408;0.175;-0.203;-10.069;4.567;3.503;195.889;75;50.889;15.111
104;1;1;392305.46;5078085.894;1584.01;210.919;63.603;-0.858;-0.759;-4.078;-0.339;0.988;195.889;75;52.167;15.111
105;1;1;392284.931;5078092.467;1590.72;196.927;66.723;-0.957;-0.532;1.67;-3.383;-0.204;195.889;75;52.167;15.111
106;1;1;392140;5078580;1475.02;270.348;54.099;0.006;-0.046;4.315;-5.02;0.719;194.556;80.389;49.667;15.833
107;1;1;391074.782;5078918.615;1809.88;117.714;42.159;-0.465;0.253;6.051;-3.3;0.163;206.444;88.444;49.778;15.778
108;1;1;392110.671;5080063.658;1440.76;132;35.067;-0.669;0.58;-0.765;0.295;2.655;223.444;81;63.722;16.722
109;3;1;389565.89;5080135.928;2710.41;203.128;27.067;-0.920;-0.407;1.445;-2.193;1.162;235.889;105.778;55.111;16
110;3;1;389866.251;5080404.563;2557.55;109.404;39.813;-0.332;-0.702;0.402;-1.356;0.938;235.889;105.778;54.389;16
111;1;1;391949.378;5080742.389;1797.42;114.417;56.242;-0.413;0.04;-0.902;6.941;1.934;235.556;96.167;63.056;16.667
112;1;1;392349.531;5080923.447;1519.35;128.987;49.505;-0.629;-0.437;0.694;-1.791;2.99;223.444;81;59.556;16.722
113;1;1;392561.854;5081413.03;1688.6;183.17;41.708;-0.998;0.302;-3.014;-1.268;1.986;214.389;100.611;54.278;16.778
114;1;1;391547.034;5082073.469;2346.31;202.867;61.995;-0.921;-0.221;-6.97;0.179;3.968;228.389;102.944;60.611;16.222
115;1;1;391500;5082500;2548.76;59.733;48.294;0.504;-0.435;4.477;-8.481;0.819;228.389;102.944;59.611;16.222
116;1;1;392953.343;5084215.688;1872.81;274.374;44.885;0.076;-0.164;0.644;-4.092;2.495;239.944;111.111;53.611;15.278
117;1;1;393420.714;5084978.695;2092.68;240.021;46.35;-0.500;0.166;0.22;0.076;1.395;238.833;110.111;56.444;15.444
118;1;1;391948.253;5085830.878;2168.59;102.4;44.69;-0.215;-0.405;2.095;-1.217;0.788;240.222;115.056;61.667;15.444
119;5;1;390587.882;5088091.882;3169.17;119.687;36.066;-0.495;0.212;-1.242;-0.027;3.562;276.111;116.5;78.611;15.056
120;1;1;393716.143;5088376.907;2054.5;161.066;42.193;-0.946;-0.718;1.968;-7.32;0.778;242.611;103.056;58.389;15.833
121;1;1;393769.758;5088396.676;2056.35;168.962;33.773;-0.981;0.199;-0.149;-1.774;1.837;242.611;103.056;58.389;15.833
122;1;1;393873.817;5088480.381;2067.41;139.189;48.205;-0.757;0.227;-0.801;-1.917;1.431;242.611;103.056;57.389;15.833
123;3;1;392648.544;5088833.78;2323.18;172.152;16.633;-0.991;-0.496;-0.041;-0.227;4.909;252.778;114.333;60.278;15.5
124;2;1;395410.057;5091395.001;3090.77;167.766;48.065;-0.977;-0.003;-5.494;3.398;2.555;275.222;106.778;73.611;16.111
125;2;1;395033.235;5091917.941;3417.91;141.09;44.428;-0.778;-0.691;-4.246;1.657;4.099;282.556;112.056;72.611;15.444
126;2;1;395217.053;5092064.55;3669.19;191.656;61.538;-0.979;-0.95;-0.184;7.03;0.717;282.556;112.056;0;15.444
127;2;1;396580;5092200;3355.5;206.627;40.758;-0.894;0.654;-2.641;-0.161;2.594;292.778;111.667;0;15.722
128;2;0;388033.11;5083554.712;3151.2;80.95;45.079;0.157;0.287;-11.272;2.13;2.959;267.444;112.5;72.833;15.611
129;1;0;394256.271;5064672.608;1100;297.186;15.434;0.457;-0.23;-2.637;-0.118;1.476;147;65.667;34.278;13.778
130;2;0;379760.543;5074420.072;2301.34;113.027;13.338;-0.391;-0.013;0.338;0.425;2.926;233.944;79;52.389;15.611
131;2;0;377811.095;5074220.189;2322.27;141.549;23.738;-0.783;-0.228;0.234;-1.274;1.576;254.222;80.333;52.444;16.5
132;1;0;372306.927;5061100.083;2606.16;346.832;48.977;0.974;0.051;2.535;-0.871;0.39;141.667;75.5;51.944;14.167
133;3;0;383864.95;5074451.467;2056.29;202.918;22.897;-0.921;-0.354;-0.478;0.31;3.321;197.111;81.333;47.278;15.778
134;1;0;374690.045;5062736.552;2355.2;18.458;41.882;0.949;0.391;-0.476;1.901;1.586;187.389;77.444;50.722;14.722
